current,frequency,amplitude,phase,I,Q
-0.0005,7103600000.0,-13.898758769113025,-0.835114441827377,0.13547047972679138,-0.14965768158435822
-0.0005,7103750000.0,-13.995285770080581,-0.855206047552399,0.13097284734249115,-0.15066541731357574
-0.0005,7103900000.0,-14.082670190690749,-0.8367061886224229,0.1323988437652588,-0.1467331349849701
-0.0005,7104050000.0,-13.927070341109875,-0.84025891580434,0.13426044583320618,-0.1498633474111557
-0.0005,7104200000.0,-13.915049989977406,-0.842590155069262,0.134096160531044,-0.15038390457630157
-0.0005,7104350000.0,-14.05737716669572,-0.847550069604043,0.13118137419223785,-0.1485922634601593
-0.0005,7104500000.0,-13.890321756012717,-0.8447153584750365,0.13415765762329102,-0.1510981023311615
-0.0005,7104650000.0,-14.026191017036789,-0.8518980721047645,0.13100357353687286,-0.14969775080680847
-0.0005,7104800000.0,-14.130980562343387,-0.8442546953685464,0.1305592805147171,-0.1469089835882187
-0.0005,7104950000.0,-14.091442594436504,-0.8525038261049799,0.12993308901786804,-0.14865611493587494
-0.0005,7105100000.0,-14.306458505869493,-0.846916277324094,0.1275644600391388,-0.1443108469247818
-0.0005,7105250000.0,-14.075218350862393,-0.8676844072979314,0.12790019810199738,-0.1508929580450058
-0.0005,7105400000.0,-14.001918871758694,-0.8678486811067789,0.12895910441875458,-0.15219290554523468
-0.0005,7105550000.0,-13.989545758162294,-0.8588549996781861,0.1305084228515625,-0.1512422412633896
-0.0005,7105700000.0,-13.873201404937497,-0.8557962051719274,0.13273653388023376,-0.15287640690803528
-0.0005,7105850000.0,-14.064846019018235,-0.8608656039481413,0.1290801763534546,-0.15019658207893372
-0.0005,7106000000.0,-14.16253505487365,-0.8725131111799485,0.1258980929851532,-0.14999334514141083
-0.0005,7106150000.0,-14.22385730975724,-0.8600719395307415,0.12685562670230865,-0.1473713368177414
-0.0005,7106300000.0,-14.167348719335894,-0.8657679261819163,0.1268366426229477,-0.14905810356140137
-0.0005,7106450000.0,-14.034133148734039,-0.8604700056012422,0.1295970231294632,-0.15067735314369202
-0.0005,7106600000.0,-14.371520925010872,-0.8630465768070136,0.12428572028875351,-0.14525748789310455
-0.0005,7106750000.0,-14.107852072345173,-0.8566822037491372,0.12906675040721893,-0.1489161252975464
-0.0005,7106900000.0,-14.313452932383779,-0.877759677209552,0.12295440584421158,-0.14805683493614197
-0.0005,7107050000.0,-14.10351209732129,-0.8817545976964616,0.12535551190376282,-0.152181014418602
-0.0005,7107200000.0,-14.36509065566386,-0.8726227917593475,0.122980035841465,-0.14654944837093353
-0.0005,7107350000.0,-14.525278324354062,-0.8771647520754748,0.12007808685302734,-0.1444183886051178
-0.0005,7107500000.0,-14.465671629796999,-0.8544628658346356,0.12417466193437576,-0.14263086020946503
-0.0005,7107650000.0,-14.22484497771678,-0.8815417433816962,0.12364853918552399,-0.15004366636276245
-0.0005,7107800000.0,-14.494630287528956,-0.9093004688557346,0.11578372120857239,-0.14872580766677856
-0.0005,7107950000.0,-14.386685836595438,-0.9032299696957113,0.11814357340335846,-0.14987121522426605
-0.0005,7108100000.0,-14.565566078747718,-0.886422259786169,0.11818654835224152,-0.14485038816928864
-0.0005,7108250000.0,-14.391211343642132,-0.8879687565487022,0.12035422027111053,-0.1479737013578415
-0.0005,7108400000.0,-14.692226838885098,-0.884953604843512,0.11668514460325241,-0.1425822377204895
-0.0005,7108550000.0,-14.534691230084217,-0.8982584844130643,0.11687854677438736,-0.14675983786582947
-0.0005,7108700000.0,-14.506103400047367,-0.9138319089835877,0.11495664715766907,-0.14905193448066711
-0.0005,7108850000.0,-14.573186257150809,-0.9324380215802881,0.11130070686340332,-0.15000192821025848
-0.0005,7109000000.0,-14.783282351605953,-0.9423424061446228,0.10718536376953125,-0.14748600125312805
-0.0005,7109150000.0,-14.668432025650379,-0.9256759002748588,0.11108764261007309,-0.14761824905872345
-0.0005,7109300000.0,-14.665125602117666,-0.9512207080701185,0.10732177644968033,-0.1504647582769394
-0.0005,7109450000.0,-14.9968650848425,-0.9512677324037394,0.10329332202672958,-0.14483128488063812
-0.0005,7109600000.0,-15.05454161867718,-0.9700904927553442,0.09988360106945038,-0.14577855169773102
-0.0005,7109750000.0,-15.072432670283964,-0.9664355929981546,0.10020911693572998,-0.14511330425739288
-0.0005,7109900000.0,-15.267698413511608,-0.9722084757134283,0.09716074168682098,-0.1424507051706314
-0.0005,7110050000.0,-15.409685135872591,-0.9958230557880153,0.09224966913461685,-0.1423589438199997
-0.0005,7110200000.0,-15.425442684862462,-0.9670876821258104,0.0961272120475769,-0.13939659297466278
-0.0005,7110350000.0,-15.473449111811963,-0.996853204411193,0.09142930805683136,-0.14141196012496948
-0.0005,7110500000.0,-15.65707625196869,-0.9802823587922433,0.09179860353469849,-0.13695146143436432
-0.0005,7110650000.0,-15.900083433809595,-0.9970559063184281,0.08701968938112259,-0.1346515417098999
-0.0005,7110800000.0,-16.38597663289082,-0.9948474958529848,0.08256640285253525,-0.12714384496212006
-0.0005,7110950000.0,-16.712737541813745,-1.0145857431310923,0.0770857036113739,-0.12399516999721527
-0.0005,7111100000.0,-16.857290345910883,-1.0013463869468433,0.07742127031087875,-0.12093430757522583
-0.0005,7111250000.0,-17.424905190186067,-1.0078348305111346,0.07178707420825958,-0.11375223100185394
-0.0005,7111400000.0,-17.687282333428524,-1.0000435005767463,0.07050879299640656,-0.10982144623994827
-0.0005,7111550000.0,-18.679808170101786,-0.9556418340761528,0.06718141585588455,-0.09507444500923157
-0.0005,7111700000.0,-19.232302262783904,-0.9393101551061933,0.06448975950479507,-0.08817382901906967
-0.0005,7111850000.0,-19.88094837350261,-0.9143978686092467,0.06186898052692413,-0.0803128108382225
-0.0005,7112000000.0,-19.78973778316323,-0.7949560431761152,0.07174757868051529,-0.07313236594200134
-0.0005,7112150000.0,-20.477050778472652,-0.7039047596496628,0.07215812802314758,-0.06126119941473007
-0.0005,7112300000.0,-20.205163458938276,-0.5576242128999456,0.0828707367181778,-0.05168190598487854
-0.0005,7112450000.0,-19.502415805759558,-0.4296051410111785,0.09627318382263184,-0.04410690441727638
-0.0005,7112600000.0,-19.177228013093373,-0.2923028964380822,0.10527250170707703,-0.03167886286973953
-0.0005,7112750000.0,-18.17403866039245,-0.24982105734011376,0.11956454813480377,-0.030507052317261696
-0.0005,7112900000.0,-17.73161184690498,-0.24141688660592742,0.1260778307914734,-0.031042752787470818
-0.0005,7113050000.0,-16.783411721814225,-0.23257608661975498,0.14092113077640533,-0.033378906548023224
-0.0005,7113200000.0,-16.593412074984922,-0.27333258571817126,0.14252795279026031,-0.03995761275291443
-0.0005,7113350000.0,-15.729882014371752,-0.28495764577820426,0.15690234303474426,-0.04596134275197983
-0.0005,7113500000.0,-15.411353979796793,-0.26878578664068364,0.16351278126239777,-0.045039817690849304
-0.0005,7113650000.0,-15.063525836379641,-0.317682539173995,0.16769877076148987,-0.055142611265182495
-0.0005,7113800000.0,-14.651232205220081,-0.33644319248537014,0.1747352033853531,-0.06111189350485802
-0.0005,7113950000.0,-14.390279410988477,-0.3362303267246472,0.18007788062095642,-0.0629374235868454
-0.0005,7114100000.0,-14.510339940106423,-0.37116009678449136,0.1753297746181488,-0.06823806464672089
-0.0005,7114250000.0,-14.248720498640822,-0.38952152524223743,0.17936940491199493,-0.07363037019968033
-0.0005,7114400000.0,-14.260427525828728,-0.4111387979088704,0.177496537566185,-0.07738596946001053
-0.0005,7114550000.0,-14.206428088865204,-0.42545121127406915,0.17747071385383606,-0.08041675388813019
-0.0005,7114700000.0,-14.013209490893221,-0.42742565973621977,0.1813001036643982,-0.08258380740880966
-0.0005,7114850000.0,-14.086297611388918,-0.45992136095288494,0.17702536284923553,-0.08768966048955917
-0.0005,7115000000.0,-14.145061671207369,-0.47970456424496305,0.17407436668872833,-0.09055964648723602
