Current,frequency,amplitude,phase,I,Q
-0.001,460325406.75844806,-57.33945175923622,1.056795792648274,0.0006678770296275616,0.001182873034849763
-0.001,470337922.40300375,-57.34299997865435,1.0197068685944566,0.000710988650098443,0.0011568217305466533
-0.001,480350438.0475595,-57.22757755296395,1.081741602004197,0.0006464372854679823,0.0012147091329097748
-0.001,490362953.6921152,-57.39645997551317,1.0138480875772045,0.0007133499020710588,0.0011455639032647014
-0.001,500375469.3366709,-57.403497107671996,1.0239422455408806,0.0007011819398030639,0.0011517725652083755
-0.001,510387984.98122656,-57.446026593715736,1.0645916446637345,0.000650603324174881,0.0011735556181520224
-0.001,520400500.62578225,-57.57622770877702,1.0450140147162474,0.0006634328747168183,0.0011433267500251532
-0.001,530413016.27033794,-57.17961096880104,1.0394316552740048,0.0007010987610556185,0.001192848663777113
-0.001,540425531.9148936,-57.49260415609807,1.0468855772081695,0.0006676892517134547,0.0011556389508768916
-0.001,550438047.5594493,-57.29907520737867,1.054268086110732,0.000673990638460964,0.0011866845889016986
-0.001,560450563.204005,-57.217134150966785,1.0478407975642494,0.0006880643777549267,0.001193534815683961
-0.001,570463078.8485608,-57.65551828161811,1.0038428156639523,0.0007034782902337611,0.0011049186578020453
-0.001,580475594.4931164,-57.425225112349516,1.0482447552726455,0.0006713052862323821,0.0011655519483610988
-0.001,590488110.1376722,-57.305832963678384,1.0639035253975309,0.0006620100466534495,0.0011921956902369857
-0.001,600500625.7822278,-57.769788895099296,1.0527231831816606,0.0006401730352081358,0.0011230985401198268
-0.001,610513141.4267836,-57.75815765182798,1.0482443031804236,0.0006460613803938031,0.0011217211140319705
-0.001,620525657.0713391,-57.650026090033066,1.0448737048141796,0.0006579790497198701,0.0011335614835843444
-0.001,630538172.7158949,-57.542435652686095,1.0219565843331369,0.0006923045148141682,0.0011321230558678508
-0.001,640550688.3604506,-57.12487585633915,1.0536943265654144,0.0006883388268761337,0.0012103295885026455
-0.001,650563204.0050063,-57.171772606071904,1.042988166466718,0.0006974810967221856,0.001196413766592741
-0.001,660575719.649562,-57.19522738040098,1.085846129781413,0.0006438395357690752,0.0012218946358188987
-0.001,670588235.2941177,-57.637657906957116,1.0551731040974472,0.0006471902597695589,0.001141902874223888
-0.001,680600750.9386734,-57.8610371040098,1.0479287520439293,0.000638804049231112,0.001108311815187335
